Year,Match,Score,Stage
UEFA  (Europe),"11 vs 1934, Italy; 1938, France, 1954, Switzerland; 1958, Sweden; 1966, England; 1974, West Germany; 1982, Spain; 1990, Italy; 1998, France; 2006, Germany; 2018, Russia","2030, Spain & Portugal",N/A
CONMEBOL  (South America),"5 vs 1930, Uruguay; 1950, Brazil; 1962, Chile; 1978, Argentina; 2014, Brazil",,N/A
CONCACAF  (North and Central America  and Caribbean),"3 vs 1970, Mexico; 1986, Mexico; 1994, United States","2026, Canada, Mexico & United States",N/A
AFC  (Asia),"2 vs 2002, South Korea & Japan; 2022, Qatar","2034, Saudi Arabia",N/A
CAF  (Africa),"1 vs 2010, South Africa","2030, Morocco",N/A
OFC  (Oceania),0 vs none,,N/A
1930,Uruguay vs Uruguay,4–2,Argentina
1934,Italy vs Italy,2–1 (a.e.t.),Czechoslovakia
1938,France vs Italy,4–2,Hungary
1942, vs (Not held because of World War II),(Not held because of World War II),–
1950,Brazil vs Uruguay,2–1[n 2],Brazil
1954,Switzerland vs West Germany,3–2,Hungary
1958,Sweden vs Brazil,5–2,Sweden
1962,Chile vs Brazil,3–1,Czechoslovakia
1966,England vs England,4–2 (a.e.t.),West Germany
1970,Mexico vs Brazil,4–1,Italy
1974,West Germany vs West Germany,2–1,Netherlands
1978,Argentina vs Argentina,3–1 (a.e.t.),Netherlands
1982,Spain vs Italy,3–1,West Germany
1986,Mexico vs Argentina,3–2,West Germany
1990,Italy vs West Germany,1–0,Argentina
1994,United States vs Brazil,0–0 (a.e.t.)(3–2 p),Italy
1998,France vs France,3–0,Brazil
2002,South Korea Japan vs Brazil,2–0,Germany
2006,Germany vs Italy,1–1 (a.e.t.)(5–3 p),France
2010,South Africa vs Spain,1–0 (a.e.t.),Netherlands
2014,Brazil vs Germany,1–0 (a.e.t.),Argentina
2018,Russia vs France,4–2,Croatia
2022,Qatar vs Argentina,3–3 (a.e.t.)(4–2 p),France
2026,Canada Mexico United States vs ,,
2030[n 3],Morocco Portugal Spain vs ,,
2034,Saudi Arabia vs ,,
Brazil,"5 (1958, 1962, 1970, 1994, 2002) vs 2 (1950 *, 1998)","2 (1938, 1978)","2 (1974, 2014 *)"
Germany1,"4 (1954, 1974 *, 1990, 2014) vs 4 (1966, 1982, 1986, 2002)","4 (1934, 1970, 2006 *, 2010)",1 (1958)
Italy,"4 (1934 *, 1938, 1982, 2006) vs 2 (1970, 1994)",1 (1990 *),1 (1978)
Argentina,"3 (1978 *, 1986, 2022) vs 3 (1930, 1990, 2014)",,
France,"2 (1998 *, 2018) vs 2 (2006, 2022)","2 (1958, 1986)",1 (1982)
Uruguay,"2 (1930 *, 1950) vs ",,"3 (1954, 1970, 2010)"
England,1 (1966 *) vs ,,"2 (1990, 2018)"
Spain,1 (2010) vs ,,1 (1950)
Netherlands," vs 3 (1974, 1978, 2010)",1 (2014),1 (1998)
Hungary," vs 2 (1938, 1954)",,
Czech Republic2," vs 2 (1934, 1962)",,
Sweden, vs 1 (1958 *),"2 (1950, 1994)",1 (1938)
Croatia, vs 1 (2018),"2 (1998, 2022)",
Poland, vs ,"2 (1974, 1982)",
Austria, vs ,1 (1954),1 (1934)
Portugal, vs ,1 (1966),1 (2006)
Belgium, vs ,1 (2018),1 (1986)
United States, vs ,1 (1930),
Chile, vs ,1 (1962 *),
Turkey, vs ,1 (2002),
Serbia3, vs ,,"2 (1930, 1962)"
Russia4, vs ,,1 (1966)
Bulgaria, vs ,,1 (1994)
South Korea, vs ,,1 (2002 *)
Morocco, vs ,,1 (2022)
Teams,43 vs 49,46,89
Top 16,9 vs 11,15,37
Top 8,2 vs 4,5,36
Top 4,1 vs 1,1,23
Top 2,0 vs 0,0,15
4th,1 vs 1,0,5
3rd,0 vs 0,1,3
2nd,0 vs 0,0,5
1st,0 vs 0,0,10
1,Miroslav Klose vs 16,24,0.67
2,Ronaldo vs 15,19,0.84
3,Gerd Müller vs 14,13,1.08
4,Just Fontaine vs 13,6,2.17
Lionel Messi,13 vs 26,0.50,N/A
6,Kylian Mbappé vs 12,14,0.86
Pelé,12 vs 14,0.86,N/A
8,Sándor Kocsis vs 11,5,2.20
Jürgen Klinsmann,11 vs 17,0.65,N/A
10,Helmut Rahn vs 10,10,1.00
Gabriel Batistuta,10 vs 12,0.83,N/A
Gary Lineker,10 vs 12,0.83,N/A
Teófilo Cubillas,10 vs 13,0.77,N/A
Thomas Müller,10 vs 19,0.53,N/A
Grzegorz Lato,10 vs 20,0.50,N/A
1930 Uruguay,Not Awarded vs Guillermo Stábile,8,Not Awarded
1958 Sweden,Just Fontaine vs 13,Pelé,N/A
1962 Chile,Flórián Albert Garrincha Vavá Valentin Ivanov Dražan Jerković Leonel Sánchez vs 4,Flórián Albert,N/A
1966 England,Eusébio vs 9,Franz Beckenbauer,N/A
1970 Mexico,Gerd Müller vs 10,Teófilo Cubillas,Peru
1974 West Germany,Grzegorz Lato vs 7,Władysław Żmuda,West Germany
1978 Argentina,Mario Kempes vs 6,Antonio Cabrini,Argentina
1982 Spain,Paolo Rossi vs Paolo Rossi,6,Manuel Amoros
1986 Mexico,Diego Maradona vs Gary Lineker,6,Enzo Scifo
1990 Italy,Salvatore Schillaci vs Salvatore Schillaci,6,Robert Prosinečki
1994 United States,Romário vs Oleg Salenko Hristo Stoichkov,6,Michel Preud'homme
1998 France,Ronaldo vs Davor Šuker,6,Fabien Barthez
2002 South Korea/Japan,Oliver Kahn vs Ronaldo,8,Oliver Kahn
2006 Germany,Zinedine Zidane vs Miroslav Klose,5,Gianluigi Buffon
2010 South Africa,Diego Forlán vs Thomas Müller,5,Iker Casillas
2014 Brazil,Lionel Messi vs James Rodríguez,6,Manuel Neuer
2018 Russia,Luka Modrić vs Harry Kane,6,Thibaut Courtois
2022 Qatar,Lionel Messi vs Kylian Mbappé,8,Emiliano Martínez
